jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning
JLPT3,受ける,うける,"receive, accept"
JLPT4,自動車,じどうしゃ,automobile
JLPT2,就職,しゅうしょく,finding employment
JLPT3,退院,たいいん,discharge from a hospital
JLPT2,契約,けいやく,"contract, agreement"
JLPT1,交渉,こうしょう,"negotiation, bargaining"
JLPT3,関係,かんけい,"relation, relationship"
JLPT0,スーパーマーケット,スーパーマーケット,supermarket
JLPT2,参加,さんか,participation
JLPT2,増加,ぞうか,"increase, gain"
JLPT1,加工,かこう,"processing, manufacturing"
JLPT3,いかが,いかが,"how, what"
JLPT3,比べる,くらべる,"compare, contrast"
JLPT2,評価,ひょうか,"evaluation, appraisal"
JLPT2,対象,たいしょう,"target, object"
JLPT2,修理,しゅうり,"repair, mending"
JLPT3,乗り換える,のりかえる,"change, transfer"
JLPT0,トイレットペーパー,トイレットペーパー,toilet paper
JLPT0,乗り換え,のりかえ,"change, transfer"
JLPT2,換える,かえる,"exchange, convert"
JLPT2,着替える,きがえる,change clothes
JLPT2,備える,そなえる,"provide for, furnish"
JLPT2,破る,やぶる,"tear, break through, breach"
JLPT2,破れる,やぶれる,"tear, rip open"
JLPT3,機械,きかい,machine
JLPT4,カメラ,カメラ,camera
JLPT3,壊す,こわす,"break, destroy, smash"
JLPT3,壊れる,こわれる,"break, break down, get out of order"
JLPT2,立派,りっぱ,"fine, excellent"
JLPT2,管理,かんり,"management, administration"
JLPT2,事件,じけん,"affair, case"
JLPT2,逮捕,たいほ,"arrest, capture"
JLPT3,戦争,せんそう,"war, battle"
JLPT3,捨てる,すてる,"discard, abandon"
JLPT2,スケート,スケート,"skate, skates"
JLPT2,ボート,ボート,boat
JLPT2,電池,でんち,"electric cell, battery"
JLPT3,深い,ふかい,"deep, profound, intimate"
JLPT0,深さ,ふかさ,"depth, profundity"
JLPT2,浅い,あさい,"shallow, superficial"
JLPT2,何か,なにか,"something, some"
JLPT3,割れる,われる,"crack, be divided, split"
JLPT4,泳ぐ,およぐ,swim
JLPT4,たくさん,たくさん,"in large quantity, plenty"
JLPT2,流行る,はやる,"be in fashion, be popular"
JLPT2,先ず,まず,first
JLPT4,洗う,あらう,wash
JLPT3,下着,したぎ,underwear
JLPT0,洗面所,せんめんじょ,"washroom, bathroom"
JLPT2,油,あぶら,"oil, animal oil"
JLPT2,沈む,しずむ,"sink, set"
JLPT3,久しぶり,ひさしぶり,after a long time
JLPT2,氷,こおり,ice
JLPT3,冷える,ひえる,"cool down, feel chilly"
JLPT2,冷やす,ひやす,"cool, chill"
JLPT2,冷める,さめる,"cool off, subside"
JLPT2,凍る,こおる,"freeze, congeal"
JLPT3,故障,こしょう,"malfunction, fault, breakdown"
JLPT4,セーター,セーター,"sweater, pullover"
JLPT4,冷蔵庫,れいぞうこ,refrigerator
JLPT4,涼しい,すずしい,"cool, refreshing"
JLPT4,ズボン,ズボン,"trousers, pants"
JLPT2,汚す,よごす,"make dirty, soil"
JLPT3,汚れる,よごれる,"become dirty, become defiled"
JLPT3,景色,けしき,"scenery, landscape"
JLPT2,影響,えいきょう,"influence, effect"
JLPT2,光る,ひかる,"shine, emit light"
JLPT3,太る,ふとる,"grow fat, fatten"
JLPT3,指,ゆび,"finger, toe"
JLPT4,西,にし,"west, western"
JLPT0,ぎらぎら,ぎらぎら,"dazzling, glaring, blinding"
JLPT2,存在,そんざい,"existence, being"
JLPT2,発見,はっけん,"discovery, revelation"
JLPT0,きらきら,きらきら,"shining, sparkling"
JLPT3,星,ほし,"star, planet, spot"
JLPT0,昨夜,ゆうべ,"last night, last evening"
JLPT3,回る,まわる,"turn round, go round, detour"
JLPT3,うまい,うまい,good at
JLPT0,野球,やきゅう,baseball
JLPT3,間,あいだ,interval
JLPT3,雲,くも,cloud
JLPT0,曇り,くもり,"cloudiness, cloudy weather"
JLPT0,昨年,さくねん,last year
JLPT3,研究,けんきゅう,"research, study"
JLPT3,地震,じしん,earthquake
JLPT2,ガス,ガス,gas
JLPT2,震える,ふるえる,"tremble, quiver, shake"
JLPT3,揺れる,ゆれる,"shake, sway, rock"
JLPT0,ぐらぐら,ぐらぐら,wobble
JLPT3,神社,じんじゃ,Shinto shrine
JLPT2,秘密,ひみつ,"secret, privacy"
JLPT2,条件,じょうけん,"condition, item"
JLPT3,規則,きそく,"rule, regulation"
JLPT0,暑さ,あつさ,"heat, summer heat"
JLPT0,寒さ,さむさ,"coldness, cold"
JLPT0,年寄り,としより,"old person, older councilor"
JLPT2,世紀,せいき,century
JLPT2,建設,けんせつ,"construction, building"
JLPT2,中心,ちゅうしん,"center, middle"
JLPT4,建物,たてもの,"building, structure"
JLPT2,建つ,たつ,"be built, be erected"
JLPT2,番地,ばんち,"lot number, address"
JLPT2,構成,こうせい,organization
JLPT2,構造,こうぞう,"construction, structure"
JLPT4,渡る,わたる,"cross, ford, go across"
JLPT4,橋,はし,bridge
JLPT2,ぶつかる,ぶつかる,"hit, bump into"
JLPT0,柱,はしら,"pillar, prop"
JLPT2,広さ,ひろさ,"area, extent"
JLPT4,新聞,しんぶん,newspaper
JLPT2,位置,いち,"position, place"
JLPT2,離婚,りこん,divorce
JLPT1,システム,システム,system
JLPT0,バス停,ばすてい,bus stop
JLPT2,大会,たいかい,"mass meeting, tournament"
JLPT2,周辺,しゅうへん,"environs, circumference"
JLPT0,田んぼ,たんぼ,rice field
JLPT3,聞こえる,きこえる,"hear, be heard"
JLPT2,黄色,きいろ,yellow
JLPT4,横,よこ,"side, width across"
JLPT0,横書き,よこがき,horizontal writing
JLPT2,段階,だんかい,stage
JLPT2,判断,はんだん,"judgment, decision"
JLPT2,基準,きじゅん,"standard, criterion"
JLPT2,断る,ことわる,"refuse, turn down"
JLPT0,横断歩道,おうだんほどう,"pedestrian crossing, crosswalk"
JLPT1,大幅,おおはば,"drastically, substantially"
JLPT2,年間,ねんかん,period of one year
JLPT1,訪れる,おとずれる,"visit, call on"
JLPT3,訪ねる,たずねる,"visit, call on"
JLPT2,冷房,れいぼう,air conditioning
JLPT3,暖房,だんぼう,heating
JLPT2,文房具,ぶんぼうぐ,"stationery, writing materials"
JLPT2,メニュー,メニュー,"menu, bill of fare"
JLPT0,諸国,しょこく,various countries
JLPT2,対策,たいさく,"measure, action"
JLPT4,もちろん,もちろん,"of course, no doubt"
JLPT4,宿題,しゅくだい,homework
JLPT2,ランチ,ランチ,lunch
JLPT2,増やす,ふやす,"increase, add"
JLPT0,緑色,みどりいろ,green
JLPT4,町,まち,"town, machi, city quarter"
JLPT3,貿易,ぼうえき,"trade, commerce"
JLPT2,輸入,ゆにゅう,import
JLPT3,輸出,ゆしゅつ,export
JLPT3,指輪,ゆびわ,ring
JLPT4,大切,たいせつ,"important, valuable"
JLPT2,往復,おうふく,"going and returning, round trip"
JLPT3,復習,ふくしゅう,review
JLPT2,繰り返す,くりかえす,repeat
JLPT0,国内,こくない,"domestic, internal"
JLPT2,広がる,ひろがる,"spread out, reach"
JLPT2,他,た,"others, other things"
JLPT2,グラス,グラス,glass
JLPT2,留学,りゅうがく,studying abroad
JLPT2,停留所,ていりゅうじょ,"stop, station"
JLPT2,書留,かきとめ,registered mail
JLPT2,自然,しぜん,nature
JLPT2,守る,まもる,"protect, observe"
JLPT2,自然,しぜん,"natural, naturally"
JLPT3,約束,やくそく,"promise, vow"
JLPT3,留守,るす,not at home
JLPT2,主人,しゅじん,"master, husband"
JLPT2,自宅,じたく,"one's house, one's home"
JLPT3,お宅,おたく,"your home, you, fan, geek"
JLPT0,大変,たいへん,"awful, serious"
JLPT0,交通事故,こうつうじこ,traffic accident
JLPT4,ベッド,ベッド,bed
JLPT2,ぐっすり,ぐっすり,soundly
JLPT2,昼寝,ひるね,"siesta, nap"
JLPT2,住宅,じゅうたく,"housing, residence"
JLPT4,静か,しずか,"quiet, tranquil"
JLPT4,暇,ひま,"free time, spare time"
JLPT3,趣味,しゅみ,"hobby, interest"
JLPT3,両方,りょうほう,both
JLPT2,両替,りょうがえ,"money changing, exchange of money"
JLPT2,片道,かたみち,one way
JLPT0,内側,うちがわ,"inside, interior"
JLPT1,パトカー,パトカー,"police car, patrol car"
JLPT0,向こう側,むこうがわ,other side
JLPT0,外側,そとがわ,"exterior, outside"
JLPT0,左側,ひだりがわ,left side
JLPT0,右側,みぎがわ,right side
JLPT3,裏,うら,"rear, reverse, inside"
JLPT2,裏返す,うらがえす,"turn over, turn inside out"
JLPT0,週刊誌,しゅうかんし,weekly magazine
JLPT0,朝刊,ちょうかん,morning edition
JLPT2,夕刊,ゆうかん,evening edition
JLPT3,小説,しょうせつ,"novel, story"
JLPT2,詳しい,くわしい,"detailed, complete"
JLPT3,細かい,こまかい,"minute, elaborate"
JLPT0,みかん,みかん,"tangerine, mandarin orange"
JLPT0,細か,こまか,"minute, elaborate"
JLPT2,積もる,つもる,"accumulate, get accumulated"
JLPT2,訳,やく,"translation, rendering"
JLPT2,訳す,やくす,translate
JLPT2,検討,けんとう,"consideration, inspection"
JLPT2,プログラム,プログラム,program
JLPT2,付ける,つける,"attach, set, apply"
JLPT2,ナイロン,ナイロン,nylon
JLPT4,こちら,こちら,"here, this way"
JLPT1,受け付ける,うけつける,"receive, accept"
JLPT3,片付ける,かたづける,"put in order, dispose of, do away with"
JLPT3,受付,うけつけ,"receptionist, information office"
JLPT0,近付く,ちかづく,"approach, get acquainted"
JLPT2,リボン,リボン,ribbon
JLPT2,片付く,かたづく,"be put in order, be settled"
JLPT2,気を付ける,きをつける,"take care of, pay attention to"
JLPT0,記念日,きねんび,"memorial day, anniversary"
JLPT3,残念,ざんねん,"regretful, disappointing"
JLPT2,行き,ゆき,going
JLPT0,具体的,ぐたいてき,"concrete, specific"
JLPT3,例えば,たとえば,for example
JLPT0,例文,れいぶん,"illustrative sentence, example"
JLPT2,例,れい,"example, precedent"
JLPT2,余る,あまる,"remain over, be in excess"
JLPT2,除く,のぞく,"rid of, exclude"
JLPT2,削る,けずる,"grind down, trim, scale back"
JLPT3,やはり,やはり,"as expected, also, still"
JLPT2,遅刻,ちこく,"tardiness, lateness"
JLPT2,緩い,ゆるい,"slack, loose"
JLPT2,数字,すうじ,"figure, numeral"
JLPT2,苦しい,くるしい,"painful, difficult"
JLPT3,苦い,にがい,"bitter, sour"
JLPT2,苦手,にがて,"person that is hard to deal with, weak point"
JLPT4,困る,こまる,"be at a loss, in a jam, in trouble"
JLPT1,貧乏,びんぼう,"poverty, destitution"
JLPT2,ジュース,ジュース,"juice, soft drink"
JLPT2,不幸,ふこう,"unhappiness, misfortune, bereavement"
JLPT2,幸せ,しあわせ,"happiness, good fortune"
JLPT2,加える,くわえる,"add, include"
JLPT2,少々,しょうしょう,"a little, a few"
JLPT4,塩,しお,salt
JLPT2,塩辛い,しおからい,salty
JLPT4,ちょっと,ちょっと,"just a moment, just a little, easily"
JLPT4,砂糖,さとう,sugar
JLPT1,規模,きぼ,"scale, scope"
JLPT2,農業,のうぎょう,agriculture
JLPT2,濃い,こい,"thick, concentrated, dark-colored"
JLPT4,薄い,うすい,"thin, weak, pale"
JLPT3,味,あじ,"taste, flavor"
JLPT4,厚い,あつい,"thick, bulky"
JLPT2,迫る,せまる,"press, close in on, be imminent"
JLPT2,ゴム,ゴム,elastic
JLPT1,業者,ぎょうしゃ,businessman
JLPT2,越える,こえる,"go over, go across, go beyond"
JLPT0,引っ越し,ひっこし,moving
JLPT2,追い越す,おいこす,"outrun, overtake"
JLPT1,上昇,じょうしょう,"ascension, rising"
JLPT3,確か,たしか,"for sure, for certain"
JLPT0,改札口,かいさつぐち,"ticket barrier, wicket"
JLPT3,失礼,しつれい,"impoliteness, bad manners, I beg your parden/Goodbye"
JLPT3,お礼,おれい,"thanks, reward, return present"
JLPT4,どなた,どなた,who
JLPT3,謝る,あやまる,apologize
JLPT3,注射,ちゅうしゃ,"injection, shot"
JLPT0,社員,しゃいん,"staff member, employee"
JLPT2,誘う,さそう,"invite, ask out"
JLPT1,導入,どうにゅう,introduction
JLPT2,努力,どりょく,"endeavor, effort"
JLPT1,当然,とうぜん,"natural, as a matter of course"
JLPT0,めったに,めったに,rarely
JLPT2,独身,どくしん,"single life, celibacy"
JLPT4,家内,かない,my wife
JLPT2,処理,しょり,"management, process"
JLPT3,紹介,しょうかい,"introduction, presentation"
JLPT2,招く,まねく,"invite, beckon, engage"
JLPT1,ソース,ソース,"sauce, Worcestershire sauce"
JLPT3,招待,しょうたい,invitation
JLPT4,生まれる,うまれる,"be born, come into existence"
JLPT2,夫婦,ふうふ,"husband and wife, married couple"
JLPT2,ネックレス,ネックレス,necklace
JLPT4,二人,ふたり,two persons
JLPT4,奥さん,おくさん,"married lady, your wife"
JLPT0,年下,としした,"younger, junior"
JLPT3,競争,きょうそう,competition
JLPT2,方向,ほうこう,"direction, course"
JLPT3,見物,けんぶつ,"sightseeing, visit"
JLPT3,知らせる,しらせる,"let know, inform"
JLPT4,皆さん,みなさん,"everybody, ladies and gentlemen"
JLPT0,皆様,みなさま,"everyone, ladies and gentlemen"
JLPT2,経営,けいえい,"management, operation"
JLPT2,大統領,だいとうりょう,president (of a country)
JLPT2,相手,あいて,opponent
JLPT2,未来,みらい,future
JLPT3,盗む,ぬすむ,"steal, rob"
JLPT2,誰か,だれか,someone
JLPT2,国籍,こくせき,"nationality, citizenship"
JLPT2,愛,あい,love
JLPT0,可愛い,かわいい,"cute, charming, sweet"
JLPT2,着せる,きせる,"dress, put on clothes"
JLPT2,恋人,こいびと,"lover, sweetheart"
JLPT3,プレゼント,プレゼント,"present, gift"
JLPT4,誕生日,たんじょうび,birthday
JLPT2,ケーキ,ケーキ,cake
JLPT2,祝日,しゅくじつ,"holiday, festival day"
JLPT3,お祝い,おいわい,celebrate
JLPT2,実現,じつげん,"implementation, realization"
JLPT3,泣く,なく,"cry, weep"
JLPT2,涙,なみだ,tear
JLPT2,こぼれる,こぼれる,"spill, overflow"
JLPT3,喜ぶ,よろこぶ,"be happy, be delighted"
JLPT3,恥ずかしい,はずかしい,"shy, ashamed, disgraceful"
JLPT2,弁当,べんとう,"box lunch, picnic lunch"
JLPT0,高さ,たかさ,height
JLPT4,登る,のぼる,"climb, mount, go up"
JLPT3,看護婦,かんごふ,female nurse
JLPT2,訴える,うったえる,sue
JLPT2,迷う,まよう,"be perplexed, hesitate, get lost"
JLPT2,占める,しめる,"occupy, hold"
JLPT2,ベルト,ベルト,belt
JLPT2,迷惑,めいわく,"trouble, annoyance"
JLPT2,地域,ちいき,"region, area"
JLPT2,活動,かつどう,activity
JLPT2,住民,じゅうみん,"residents, dwellers"
JLPT3,危険,きけん,"danger, dangerous"
JLPT1,政権,せいけん,political power
JLPT2,贈る,おくる,"offer, give"
JLPT3,贈り物,おくりもの,"present, gift"
JLPT2,与える,あたえる,give
JLPT1,資金,しきん,"funds, capital"
JLPT2,貯金,ちょきん,"savings, deposit"
JLPT4,毎月,まいつき,every month
JLPT2,預かる,あずかる,"receive on deposit, take charge of"
JLPT2,分野,ぶんや,"field, sphere"
JLPT4,料理,りょうり,"cooking, handling"
JLPT2,得意,とくい,"one's forte, pride, customer"
JLPT4,ギター,ギター,guitar
JLPT2,理科,りか,science
JLPT0,バレーボール,バレーボール,volleyball
JLPT2,燃える,もえる,"burn, undergo combustion"
JLPT3,焼ける,やける,"burn, be scorched, be baked"
JLPT0,すき焼き,すきやき,sukiyaki
JLPT4,肉,にく,"flesh, meat"
JLPT3,焼く,やく,"burn, bake, be envious"
JLPT2,乾杯,かんぱい,a toast
JLPT2,乾かす,かわかす,dry
JLPT2,新幹線,しんかんせん,"Shinkansen, Bullet Train"
JLPT0,速さ,はやさ,speed
JLPT2,行き,いき,going
JLPT2,素晴らしい,すばらしい,"splendid, excellent"
JLPT2,家庭,かてい,"home, family"
JLPT4,花,はな,flower
JLPT4,咲く,さく,"bloom, blossom"
JLPT2,桜,さくら,"cherry tree, cherry blossom"
JLPT4,吹く,ふく,"blow, play on a wind instrument"
JLPT4,毎日,まいにち,every day
JLPT3,海岸,かいがん,"seashore, coast"
JLPT2,あちこち,あちこち,all over
JLPT3,植える,うえる,"plant, raise"
JLPT4,庭,にわ,"garden, court"
JLPT2,屋根,やね,roof
JLPT0,厚さ,あつさ,thickness
JLPT2,黒板,こくばん,blackboard
JLPT0,掲示板,けいじばん,"notice board, bulletin board"
JLPT2,チョーク,チョーク,chalk
JLPT4,フォーク,フォーク,fork
JLPT2,牛,うし,"cattle, cow"
JLPT3,草,くさ,"grass, weed"
JLPT3,葉,は,"leaf, needle"
JLPT0,絵葉書,えはがき,picture postcard
JLPT4,葉書,はがき,postcard
JLPT3,警察,けいさつ,police
JLPT4,どうぞ,どうぞ,please
JLPT4,タクシー,タクシー,"taxi, cab"
JLPT2,親しい,したしい,"intimate, familiar"
JLPT0,救急車,きゅうきゅうしゃ,ambulance
JLPT0,ウェートレス,ウェートレス,waitress
JLPT4,吸う,すう,"inhale, suck"
JLPT4,たばこ,たばこ,"tobacco, cigarette"
JLPT2,普及,ふきゅう,"diffusion, spread"
JLPT2,手術,しゅじゅつ,surgical operation
JLPT2,効果,こうか,"effect, result"
JLPT2,胃,い,stomach
JLPT2,割る,わる,"divide, crack, split"
JLPT2,皿,さら,"plate, counter for plates or helpings"
JLPT3,血,ち,blood
JLPT2,内容,ないよう,contents
JLPT1,会談,かいだん,"conversation, meeting"
JLPT1,背景,はいけい,"background, scenery, setting"
JLPT2,実際,じっさい,"truth, actual state"
JLPT2,かゆい,かゆい,itchy
JLPT2,滑る,すべる,"slide, slip, flunk an examination"
JLPT2,骨,ほね,"bone, frame, spirit"
JLPT2,健康,けんこう,healthy
JLPT3,水泳,すいえい,swimming
JLPT3,珍しい,めずらしい,"rare, precious"
JLPT2,ビデオ,ビデオ,video
JLPT4,撮る,とる,"photograph, shoot, film"
JLPT2,国会,こっかい,"National Diet, parliament"
JLPT2,再び,ふたたび,"again, a second time"
JLPT4,再来年,さらいねん,the year after next
JLPT2,再来月,さらいげつ,the month after next
JLPT2,再来週,さらいしゅう,the week after next
JLPT3,放送,ほうそう,broadcasting
JLPT2,装置,そうち,"equipment, device"
JLPT2,仮名,かな,"kana, Japanese syllabary"
JLPT2,送り仮名,おくりがな,kana suffix
JLPT2,悲しむ,かなしむ,"feel sad, lament"
JLPT4,あまり,あまり,(not) much
JLPT2,流れる,ながれる,"flow, pass, drift away"
JLPT2,ビール,ビール,"beer, lager"
JLPT3,美術館,びじゅつかん,art museum
JLPT2,美人,びじん,beautiful woman
JLPT0,すいか,すいか,watermelon
JLPT2,博物館,はくぶつかん,museum
JLPT0,ハム,ハム,ham
JLPT1,開催,かいさい,"holding (of an event), opening"
JLPT2,特徴,とくちょう,"distinctive feature, characteristic"
JLPT2,今回,こんかい,this time
JLPT2,許す,ゆるす,"permit, license, forgive"
JLPT0,免許証,めんきょしょう,license
JLPT2,述べる,のべる,"state orally, expound, mention"
JLPT3,食事,しょくじ,"meal, dinner"
JLPT0,代わる,かわる,"substitute, be substituted for"
JLPT2,固い,かたい,"stiff, tight"
JLPT3,厳しい,きびしい,"strict, severe, intense"
JLPT2,教師,きょうし,"teacher, instructor"
JLPT2,進める,すすめる,"advance, promote"
JLPT1,設ける,もうける,"set up, establish"
JLPT2,実験,じっけん,experiment
JLPT2,教授,きょうじゅ,professor
JLPT3,間に合う,まにあう,"be in time, answer the purpose, can do without"
JLPT3,伝える,つたえる,"convey, transmit, hand down"
JLPT4,忙しい,いそがしい,"busy, occupied"
JLPT3,逃げる,にげる,"escape, run away"
JLPT4,鳥,とり,"bird, poultry"
JLPT3,鳴る,なる,"sound, ring, roar"
JLPT4,鳴く,なく,"cry, chirp, meow"
JLPT0,目覚まし時計,めざましどけい,alarm clock
JLPT4,声,こえ,"voice, sound"
JLPT4,テープレコーダー,テープレコーダー,"tape recorder, cassette recorder"
JLPT4,卵,たまご,egg
JLPT4,やる,やる,give (to an inferior)
JLPT4,隣,となり,"neighboring house, next seat"
JLPT2,振る,ふる,"wave, shake, brandish"
JLPT2,助ける,たすける,"help, save"
JLPT3,駐車場,ちゅうしゃじょう,parking area
JLPT3,騒ぐ,さわぐ,"make a racket, mess around, make a fuss"
JLPT2,刺身,さしみ,"sashimi, sliced raw meat"
JLPT2,激しい,はげしい,"violent, intense"
JLPT4,スリッパ,スリッパ,slippers
JLPT4,降る,ふる,"fall, come down"
JLPT2,示す,しめす,"show, indicate"
JLPT3,歴史,れきし,history
JLPT3,驚く,おどろく,"be surprised, be startled"
JLPT0,強さ,つよさ,"strength, power"
JLPT2,停車,ていしゃ,stoppage
JLPT4,木,き,"tree, wood"
JLPT3,倒れる,たおれる,"fall over, succumb"
JLPT2,倒す,たおす,"bring down, overthrow, defeat"
JLPT2,傾向,けいこう,"tendency, disposition"
JLPT3,急,きゅう,"urgent, dire, pressing"
JLPT3,よろしい,よろしい,all right
JLPT3,柔道,じゅうどう,judo
JLPT0,柔らか,やわらか,"soft, tender, gentle"
JLPT2,主張,しゅちょう,"insistence, assertion"
JLPT2,テント,テント,tent
JLPT2,引っ張る,ひっぱる,"pull, drag"
JLPT4,消える,きえる,"be extinguished, disappear"
JLPT2,突き当たる,つきあたる,"hit against, come to the end of"
JLPT2,突き当たり,つきあたり,end of a street
JLPT2,文字,もじ,"character, letter"
JLPT3,塗る,ぬる,"spread on, paint"
JLPT4,弾く,ひく,play on
JLPT2,地球,ちきゅう,the Earth
JLPT4,丸い,まるい,round
JLPT2,丸,まる,"circle or sphere, wholeness"
JLPT2,攻撃,こうげき,"attack, criticism"
JLPT0,消防車,しょうぼうしゃ,fire engine
JLPT2,殺す,ころす,"kill, smother"
JLPT4,嫌,いや,"dislike, have a dislike for"
JLPT3,歯医者,はいしゃ,dentist
JLPT0,大嫌い,だいきらい,hate
JLPT2,ラッシュアワー,ラッシュアワー,rush hour
JLPT0,にんじん,にんじん,carrot
JLPT2,アクセサリー,アクセサリー,"accessories, jewelry"
JLPT4,大勢,おおぜい,"large numbers, a lot of"
JLPT2,姿,すがた,"figure, appearance"
JLPT2,姿勢,しせい,"posture, attitude"
JLPT3,夢,ゆめ,dream
JLPT2,恐ろしい,おそろしい,"terrible, awful"
JLPT3,怖い,こわい,"fearful, be afraid"
JLPT2,孫,まご,grandchild
JLPT3,木綿,もめん,cotton
JLPT2,偉い,えらい,"great, famous, eminent"
JLPT2,爪,つめ,"nail, claw"
JLPT2,奥,おく,"inner part, the back, inner chamber"
JLPT4,机,つくえ,"desk, table"
JLPT2,貼る,はる,"stick, paste"
JLPT2,組み立てる,くみたてる,"build, set up, construct"
JLPT3,棚,たな,"cupboard, shelf, rack"
JLPT4,本棚,ほんだな,bookshelf
JLPT3,折れる,おれる,"snap, be folded, give in"
JLPT2,用いる,もちいる,"use, make use of"
JLPT2,商業,しょうぎょう,"commerce, trade"
JLPT2,方針,ほうしん,"course, policy"
JLPT3,糸,いと,"thread, yarn"
JLPT3,釣る,つる,"angle, fish"
JLPT0,お釣り,おつり,change
JLPT2,預ける,あずける,"deposit, entrust"
JLPT3,無くす,なくす,"lose, get rid of"
JLPT2,鍋,なべ,"pan, saucepan"
JLPT3,うまい,うまい,"delicious, tasty"
JLPT2,こぼす,こぼす,spill
JLPT0,寿司,すし,sushi
JLPT3,夕飯,ゆうはん,"evening meal, supper"
JLPT2,昼食,ちゅうしょく,lunch
JLPT2,シャワー,シャワー,shower
JLPT2,ただ,ただ,free
JLPT3,泥棒,どろぼう,"thief, crook"
JLPT3,沸かす,わかす,"boil, excite"
JLPT0,やかん,やかん,kettle
JLPT3,乾く,かわく,"dry, run dry"
JLPT0,洗濯機,せんたくき,washing machine
JLPT4,洗濯,せんたく,"laundering, washing"
JLPT2,濡れる,ぬれる,get wet
JLPT4,喫茶店,きっさてん,"coffee shop, tea house, café"
JLPT2,怠ける,なまける,"be lazy, neglect"
JLPT3,一生懸命,いっしょうけんめい,"for life, with all one's might"
JLPT2,休憩,きゅうけい,"rest, repose"
JLPT0,天井,てんじょう,ceiling
JLPT0,納豆,なっとう,natto (fermented soybeans)
JLPT0,朝食,ちょうしょく,breakfast
JLPT0,まく,まく,"scatter, plant"
JLPT2,化粧,けしょう,"make up, put on makeup"
JLPT2,畑,はたけ,"field, vegetable garden"
JLPT2,炊く,たく,"cook, boil"
JLPT0,自炊,じすい,cooking food for oneself
JLPT4,灰皿,はいざら,ashtray
JLPT2,灰,はい,ashes
JLPT2,灰色,はいいろ,"ash color, gray"
JLPT2,西暦,せいれき,"Christian Era, A.D."
JLPT2,伸びる,のびる,"stretch, grow"
JLPT3,髪,かみ,"hair, hairstyle"
JLPT3,鏡,かがみ,mirror
JLPT0,美容院,びよういん,beauty shop
JLPT0,くし,くし,comb
JLPT0,とんとん,とんとん,tapping
JLPT2,舌,した,tongue
JLPT2,臭い,くさい,"ill-smelling, stinking"
JLPT2,匂い,におい,"smell, odor"
JLPT4,居る,いる,be present
JLPT2,より,より,"more, further"
JLPT2,履く,はく,"put on footwear, wear"
JLPT4,戸,と,"door, shutter"
JLPT2,扇風機,せんぷうき,electric fan
JLPT2,ドライブ,ドライブ,drive
JLPT0,豚,ぶた,"pig, pork"
JLPT4,豚肉,ぶたにく,"pork, hog meat"
JLPT0,鶏,にわとり,"chicken, hen"
JLPT2,刺す,さす,"stab, prick, sting"
JLPT0,腕時計,うでどけい,wrist watch
JLPT2,分ける,わける,"divide into parts, sort, share"
JLPT4,半分,はんぶん,half
JLPT4,お菓子,おかし,"sweets, snacks"
JLPT3,お土産,おみやげ,souvenir
JLPT0,お辞儀,おじぎ,bow
JLPT2,寝坊,ねぼう,"late riser, oversleeping"
JLPT2,旗,はた,"flag, banner"
JLPT4,鉛筆,えんぴつ,pencil
JLPT4,万年筆,まんねんひつ,fountain pen
JLPT4,箱,はこ,"box, case"
JLPT0,セロテープ,セロテープ,"cellophane tape, Scotch tape, Sellotape"
JLPT0,下ろす,おろす,"bring down, take down, pull down"
JLPT0,本箱,ほんばこ,bookcase
JLPT2,ビニール,ビニール,plastic bag
JLPT3,手袋,てぶくろ,gloves
JLPT2,袋,ふくろ,"bag, sack"
JLPT0,落とす,おとす,"drop, omit"
JLPT3,拾う,ひろう,"pick up, find"
JLPT4,ポケット,ポケット,pocket
JLPT3,財布,さいふ,"purse, wallet"
JLPT3,柔らかい,やわらかい,soft
JLPT2,毛布,もうふ,blanket
JLPT3,押し入れ,おしいれ,closet
JLPT3,引き出し,ひきだし,"drawer, withdrawal"
JLPT4,中,なか,"inside, middle"
JLPT0,レシート,レシート,receipt
JLPT0,アイスコーヒー,アイスコーヒー,iced coffee
JLPT2,小包,こづつみ,"parcel, package"
JLPT3,包む,つつむ,"wrap, pack"
JLPT3,飾る,かざる,"decorate, exhibit"
JLPT2,手帳,てちょう,"pocketbook, memo"
JLPT0,電話帳,でんわちょう,telephone book
JLPT2,牛乳,ぎゅうにゅう,milk
JLPT4,玄関,げんかん,"entrance, door"
JLPT3,ベル,ベル,bell
JLPT4,眼鏡,めがね,"glasses, judgment"
JLPT2,患者,かんじゃ,patient
JLPT0,赤ちゃん,あかちゃん,baby
JLPT3,眠い,ねむい,sleepy
JLPT3,眠る,ねむる,sleep
JLPT0,大きさ,おおきさ,"size, dimensions"
JLPT4,封筒,ふうとう,envelope
JLPT3,壁,かべ,"wall, partition"
JLPT2,鍵,かぎ,"key, lock"
JLPT2,出掛ける,でかける,"go out, be about to go out"
JLPT3,用事,ようじ,"things to do, errand, business"
JLPT2,掛かる,かかる,"hang, splash, require"
JLPT2,掛け算,かけざん,multiplication
JLPT2,拍手,はくしゅ,"applause, clapping"
JLPT4,トイレ,トイレ,toilet
JLPT4,掃除,そうじ,cleaning
JLPT0,掃除機,そうじき,vacuum cleaner
JLPT2,握る,にぎる,"grasp, make hand-rolled sushi balls"
